npi,depression,tobacco,weight,bloodpressure,comparingmeds,reduceheart
1639150444,,100,,,,
1568486876,,100,49,,,
1760652184,,100,100,100,,
1922064401,,100,72,,,
1710925029,,,97,,,
1366409088,,97,54,,,
1801898119,,100,,,,
1679539811,,77,40,,,
1255327631,,,40,,,
1427146521,,100,,,,
1275510828,,100,,100,,
1144550500,,,97,,,
1265544183,,100,100,,,
1932115763,,,94,,,
1528390325,,,100,,,
1346321429,,96,,,,
1336333509,,90,,,,
1487666921,,100,,,,
1538158357,,100,,,,
1215260112,,,97,,,
1619081684,,,84,,,
1619200946,,100,,,,100
1881669422,,100,,,,
1699843227,,100,,,,
1710989678,0,93,40,,100,69
1528058443,,100,,,,
1770583072,,100,99,,,
1396940532,,100,,,,
1760667810,,98,,,,
1437271996,,100,100,,,
1891777413,,100,,,,
1881897817,,100,,,,
1518196658,,,100,,,
1235216425,,84,40,,,
1962488965,,98,59,,,
1306006242,,100,60,,,
1952303570,,89,,,,
1134359615,,,98,,,
1174750301,,82,35,,,
1215189634,,95,,,,
1346224532,,98,53,,,
1255383147,,,100,,,
1225289952,,100,,,,
1851376008,,100,88,,,99
1134295132,,,99,,,
1487803086,,,,,,90
1609984830,,100,100,100,,
1972595643,,100,,,,
1811999469,,,,100,,
1588770630,,98,,,,
1184619348,,,18,,,
1376624536,,,100,,,
1093826802,,,,0,,
1407053879,,96,96,,,
1023014768,,,,100,,
1962514703,,,,100,,
1457397069,,100,,,,
1770570335,100,100,100,100,,
1942206578,,100,,100,,
1437180023,,94,,,,
1104801950,,,100,,,
1639176787,,100,,,,
1669476925,,,64,,,
1780683979,,100,100,,,100
1477751295,,,77,,,
1619154614,,,96,,,
1356326649,,100,,,,
1457582447,,,100,,,
1972742641,,,,0,,
1942362835,,100,100,,,
1447245576,,98,28,,,
1053315820,,95,,,,
1255305017,,,,,,100
1114926763,,100,,,,
1841216447,,100,,,,
1568776599,,,100,,,
1518126796,,91,,,,
1417149196,,98,53,,,
1790755031,,100,,,,
1003937079,0,100,35,,,
1780083170,,100,100,,,
1730420167,0,79,39,,,
1174789416,0,96,46,,,
1922425024,22,100,39,,,
1063826022,,,100,,,
1205063211,,100,100,,,
1528340254,,,72,,,
1225471550,60,100,93,,,
1154752640,,,,100,,
1902237977,,,73,,,
1003246679,,,95,,,
1730336868,,100,,,,
1841421872,,100,,,,
1376984468,,,,,,94
1952656944,,,100,,,
1417296146,,,60,,,
1871880922,,100,100,,,
1306027669,,99,,,,
1356786933,,100,,,,
1801143946,,,100,,,
1205157591,99,99,91,94,,
1659534501,,100,,,,
1548600612,,100,100,100,,
1508118449,,,4,,,
1487905360,,96,,,,
1528296340,,97,15,,,
1033323878,,100,,,,
1760727655,,100,,100,,
1417206558,100,100,100,96,,
1376893693,,90,,,,
1194077990,,,100,,,
1639420003,100,100,97,,,
1801830617,,99,45,,,
1821350687,,100,,,,
1770696536,,100,,100,,
1083878219,,,33,,,
1427039395,,97,54,,,
1407121791,,,100,,,
1497812911,,100,100,,,
1053566299,,74,,,,
1255654257,,100,,,,
1689899676,,100,,,,
1588976245,,100,,,,
1215215868,,,94,,,
1851672166,,,,,100,
1992799100,,90,61,,,
1003007204,,100,,,,
1447243480,,100,,,,
1902189145,,,100,,,
1558642769,,100,,99,,
1013901677,,,,100,,
1962783795,,,91,,,
1962661041,,81,,,,
1932274305,99,100,69,,,
1023119351,,,100,,,
1639158306,,,26,,,
1588977987,,94,,,,
1740576586,,81,38,,,
1427085869,,95,53,,,
1376798520,,87,,,,
1477604858,,38,6,,,
1669430138,,100,,,,
1659373611,,100,,,,
1154631653,,100,100,100,,
1700845997,,93,,,,
1144412263,,66,,,,
1205039872,,97,81,,,
1689699704,,98,,,,
1992097968,,100,100,,,
1730390295,,96,38,,,
1437259124,,99,85,,,
1457345944,,100,,,,
1548207319,100,100,86,,,
1164532289,,,97,,,
1881649226,,100,,,,
1689636391,,100,,,,
1255393047,,93,84,,,
1659365419,,100,100,,,
1235126061,,,97,,,
1205923737,,82,87,62,,
1053393595,,,0,,,
1902865942,,,98,,,
1558367391,,98,100,,,86
1437118098,0,89,42,,,97
1073509899,,100,,,,
1013981471,,95,,,,
1760487011,,99,,,,99
1649301961,,,49,,,
1679566434,,100,100,,,
1477500734,,100,,,,
1134107170,,100,97,,,
1386648624,,92,,,,
1194795948,,100,,,,
1386631018,,,,,94,
1033268941,,100,92,,,
1851408157,,,,92,,
1598767543,,100,,,,
1225024128,,100,100,,,
1881655819,,,97,,,
1801847173,,,7,,,
1033114426,,100,100,,,
1285740530,100,100,,,,
1740380369,,,,0,,
1801896501,,,100,,,
1245284785,,100,,100,,
1952359960,100,100,100,100,,
1699796375,0,94,49,,,84
1366485229,,,,100,,
1326057399,,98,,,,
1396721262,,100,,,,
1235113630,,,100,,,
1790792109,,,100,,,
1033180021,,,100,,,
1962449942,,100,,,,
1023112273,,,100,,,
1548354178,,91,,,,
1497721328,,96,15,,,
1174548291,,94,,,,
1598707887,,100,,,,
1346298825,,99,,,,
1184623795,,100,48,39,,
1033117098,,,38,,,
1831176254,,100,,,,
1437155686,,100,,,,
1619963923,0,100,,,,
1588727135,,99,,,,
1063485795,,,100,,,
1063443810,,100,93,,,
1376580787,92,100,91,,,
1104856780,,92,,,,
1225227770,,,,100,,
1003859331,,100,92,,,
1790713162,98,,,,,
1114961885,,,95,,,
1780689737,,93,24,,,
1528044658,,99,,,,
1336163054,,100,,,,
1841203940,,100,100,,,
1215929393,,,54,,,
1861490518,,100,86,,,
1932189941,,100,24,,,
1356381800,0,97,37,,,
1457348393,,100,100,,,
1497706709,,,,21,,
1174570733,,100,43,40,,
1164518288,,100,78,,,
1346305703,,37,,,,
1922042175,,90,,70,,
1366448599,,100,,,,
1730155961,,,100,,,
1740398577,,100,,,,100
1992714026,,64,61,45,,
1942205240,,100,,,,
